route_id,route_short_name,route_long_name,direction_id,seq,stop_id,station_id,stop_name,lat,lon,km,length_km,cor_metro,cor_metro_ligero,cor_aeropuerto,cor_bus,cor_tren_ld
10T0014C4a,C4a,Parla                                   -Alcobendas-S.Sebast. de los Reyes,1,14,19003,19003,Alcobendas-San Sebastián De Los Reyes,40.546577,-3.635173,43.221,43.221,,,,,
10T0015C4b,C4b,Colmenar Viejo                          -Parla,0,0,17005,17005,Colmenar Viejo,40.645209,-3.776614,0.000,50.996,,,,,
10T0015C4b,C4b,Colmenar Viejo                          -Parla,0,1,17004,17004,Tres Cantos,40.598742,-3.715559,7.297,50.996,,,,,
10T0015C4b,C4b,Colmenar Viejo                          -Parla,0,2,17003,17003,El Goloso,40.558897,-3.713971,11.730,50.996,,,,,
10T0015C4b,C4b,Colmenar Viejo                          -Parla,0,3,17009,17009,Universidad-Cantoblanco,40.543842,-3.700155,13.771,50.996,,,,,
10T0015C4b,C4b,Colmenar Viejo                          -Parla,0,4,17001,17001,Fuencarral,40.501560,-3.682504,18.703,50.996,,,,,
10T0015C4b,C4b,Colmenar Viejo                          -Parla,0,5,17000,17000,Madrid-Chamartín-Clara Campoamor,40.471179,-3.682952,22.082,50.996,1 10,,,,TRUE
10T0015C4b,C4b,Colmenar Viejo                          -Parla,0,6,18002,18002,Madrid-Nuevos Ministerios,40.446627,-3.692347,24.925,50.996,6 8 10,,,,
10T0015C4b,C4b,Colmenar Viejo                          -Parla,0,7,18101,18101,Sol,40.416866,-3.702876,28.352,50.996,1 2 3 5,,,,
10T0015C4b,C4b,Colmenar Viejo                          -Parla,0,8,18000,18000,Madrid-Atocha Cercanías,40.406619,-3.689439,29.963,50.996,1,,,,TRUE
