nombre,cod_depend,cod_tramo,cod_tipo_d,cod_estado,cod_munici,direccion,codigo_pos,cod_titula,utm_x,utm_y,v_desde,id_provinc
LA POBLA DE MONTORNES (APD),"72005","022340020",F,FS,"431114",,"43761",AD,870211.335,4568234.4159,1,43
LOS LABRADOS,"40116","045160060",Y,FS,"410732",,"41360",AD,256292.7537,4184937.9574,1,41
"KM. 111,2 (CUARTE DE HUERVA)","67001","026100010",K,FS,"502973",,"50012",AD,672207.5052,4608127.176,1,50
BIF. GIRONA MERC,B7920,"022700110",F,FS,"170736",,"17458",AD,981333.8114,4659712.734,5,17
NUMANCIA Y YUNCOS,"35006","055000090",Y,FS,"451199",,"45230",AD,426300.2493,4437171.0344,1,45
ALCAÑIZO,"35202","055000120",Y,FS,"450054",,"45687",AD,319738.343,4419564.7384,1,45
CASTELLAR DE LA FRONTERA,"55016","044200050",T,EX,"110131",,"11350",AD,283978.6182,4023357.3819,1,11
CAMBIADOR ALBACETE,"03303","133080010",C,EX,"020030",,"02006",AV,600127.7905,4317012.9864,4,2
BAKAIKU-BACAICOA (APD),"80002","017100020",Y,FS,"310446",,"31810",AD,572995.2657,4749754.9227,1,31
MOLINS DE REI,"72300","022400120",E,EX,"081234",,"08750",AD,919693.0631,4596438.5498,1,8
"AGUJA KM. 0,500",A7227,"022420010",B,EX,"082080",,"08635",AD,909329.6582,4602458.8263,1,8
MARTORELL-SEAT,"72212","022420010",E,EX,"081141",,"08760",AD,909612.8377,4604372.7407,1,8
BIF. PAPIOL,A7224,"022460060",F,FS,"080543",,"08755",AD,916185.4687,4602349.2783,5,8
RUBÍ CAN VALLHONRAT,"72501","022460015",E,EX,"81846",,"08191",AD,920657.2594,4603773.6322,5,8
CIUDAD REAL,"37200","140100080",E,EX,"130343","Avda. europa, 1","13005",AV,420894.745,4315518.285,1,13
SANT ANDREU,"79004","022700008",E,EX,"080193",,"08030",AD,933982.8099,4600207.8338,57,8
POZUELO,"10002","019100040",T,EX,"281150",,"28224",AD,432142.3314,4477716.6259,1,28
BIF. CHAMARTIN,B1005,"019100060",B,EX,"281277",,"28231",AD,426121.2399,4483714.5817,1,28
BIF. CHAMARTIN-AGUJA KM.18.6,"97018","019140010",K,EX,"281277",,"28231",AD,425940.741,4484474.6029,1,28
LAS MATAS CLASIFICACION,"10105","019120010",T,EX,"281277",,"28290",AD,424765.5684,4487856.6324,1,28
ODONNELL,"98100","022000030",T,EX,"280796",,"28022",AD,450028.7965,4477039.2571,1,28
BIF. BASE AEREA,B7011,"022000070",F,FS,"280053",,"28850",AD,463567.1957,4479801.3342,1,28
BASE AEREA DE TORREJON,"70106","020002002",F,FS,"281489",,"28850",AD,463406.8225,4482607.6481,1,28
GENERAL MOTOS,XX004,"020002003",O,EX,"502040",,"50690",AD,651142.9624,4623054.2594,1,50
GRISEN,"70706","022000220",E,EX,"501232",,"50297",AD,652503.0382,4623112.0537,1,50
ZUERA,"78100","022000320",A,EX,"502989",,"50800",AD,685530.0306,4638564.5405,1,50
LUGO,"20309","068000140",E,EX,"270288","Plaza de Conde Fontao, s/n","27003",AD,129028.2816,4772555.0689,1,27
EL ESCORIAL,"10203","011000070",E,EX,"280549",,"28280",AD,404166.1707,4493332.6096,1,28
SANTA MARIA DE LA ALAMEDA,"10206","011000080",T,EX,"281356",,"28296",AD,392571.7198,4491684.4174,1,28
MONTESA (APD),"64005","033000246",P,EX,"461748",,"46692",AD,704424.3844,4313079.5412,1,46
HOYA DE HUESCA,"74201","022040020",T,EX,"221259",,"22004",AD,711416.1193,4664784.1498,1,22
"KM. 103,9 (NAVASA)","74212","022040040",K,EX,"221301",,"22700",AD,706910.4387,4713634.9991,1,22
BAÑOS DE MONTEMAYOR,"30008","05999FS20",F,FS,"100247",,"10750",AD,257040.8106,4465830.1211,1,10
FUENTE EL FRESNO,"37109","05999FS40",F,FS,"452006",,"45470",AD,423981.2872,4347547.5635,1,13
FERNAN CABALLERO,"37111","05999FS40",F,FS,"130408",,"13140",AD,423654.0412,4329603.3739,1,13
CANAL DEL MANZANARES,"03202","130400035",E,EX,"451611",,"45223",AV,443476.3346,4466486.7757,49,45
TARANCON-A. V.,"03205","130400070",E,EX,"162033",,"16400",AV,500321.6205,4425247.3134,4,16
HORCAJADA,"03207","130400070",E,EX,"162110",,"16161",AV,544693.8702,4433821.8144,4,16
MONTEAGUDO DE LAS SALINAS,"03209","130400080",E,EX,"161317",,"16360",AV,586163.3543,4407042.1776,4,16
CAUDETE DE LAS FUENTES,"03212","130400100",E,EX,"460958",,"46315",AV,643775.5493,4378764.7918,51,46
O IRIXO-A. V.,"08222","160820100",B,EX,"320356",,"32530",AV,80750.8765,4720837.3925,8,32
FAXIL,"23015","068280003",E,EX,"360025",,"36191",AD,36091.0771,4723846.6218,1,36
EGUINO (APD),"11214","011000345",Y,FS,"010091",,"01250",AD,560317.0421,4746418.8117,1,1
"BIF. KM.534,0",B1120,"011000355",B,EX,"311897",,"31809",AD,566361.0139,4748132.9114,1,31
ALTSASU,"11300","011000370",E,EX,"310109",,"31800",AD,566851.4322,4749464.0237,1,31
ZEGAMA-OTZAURTE,"11303","011000380",T,EX,"200258",,"20215",AD,560082.265,4754351.1134,1,20
BRINKOLA,"11305","011000390",T,EX,"200512",,"20230",AD,554217.7502,4763116.8198,1,20
ZUMARRAGA,"11400","011000400",E,EX,"200809",,"20700",AD,555346.5692,4770712.0389,1,20
TOLOSA,"11500","011000410",E,EX,"200718",,"20400",AD,574901.2791,4776268.8109,1,20
SAN SEBASTIAN-DONOSTIA,"11511","011000425",E,EX,"200697",,"20012",AV,582960.3661,4796603.696,1,20
LEZO-ERRENTERIA,"11516","011000430",E,EX,"200533",,"20100",AD,589244.086,4796479.7616,1,20
HENDAYA,"11602","011000455",E,EX,,,,OT,598725.025,4800740.5909,1,20
BIF. FUENCARRAL,B1702,"011020010",B,EX,"280796",,"28050",AD,442007.1536,4485511.2481,1,28
UNIVERSIDAD-CANTOBLANCO,"17009","011020020",T,EX,"280796",,"28049",AD,440708.0531,4488358.878,1,28
BIF. TRES CANTOS,B1703,"011020030",F,FS,"280796",,"28049",AD,439739.3328,4489156.2386,1,28
EL GOLOSO,"17003","011020025",P,EX,"280796",,"28049",AD,439556.4756,4490024.6091,1,28
